item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q105674235,NormalRank,Q6581097,true,true,false,false,false,false
Q112670582,NormalRank,Q6581097,true,false,,,,
Q112670601,NormalRank,Q6581097,true,false,,,,
Q112691270,NormalRank,Q6581097,true,false,,,,
Q113502559,NormalRank,Q6581097,true,false,,,,
Q113502560,NormalRank,Q6581097,true,false,,,,
Q113502633,,,,false,,,,
Q114351143,NormalRank,Q6581097,true,false,,,,
Q114351204,NormalRank,Q6581097,true,false,,,,
Q114351301,NormalRank,Q6581097,true,false,,,,
Q114351306,NormalRank,Q6581097,true,false,,,,
Q114351315,NormalRank,Q6581097,true,false,,,,
Q114351328,NormalRank,Q6581072,true,false,,,,
Q114351337,NormalRank,Q6581097,true,false,,,,
Q114351341,NormalRank,Q6581072,true,false,,,,
Q114351351,NormalRank,Q6581097,true,false,,,,
Q114351361,NormalRank,Q6581097,true,false,,,,
Q114351367,NormalRank,Q6581072,true,false,,,,
Q114351376,NormalRank,Q6581097,true,false,,,,
Q114351389,NormalRank,Q6581072,true,false,,,,
Q1232523,NormalRank,Q6581097,true,true,false,false,false,false
Q1351123,NormalRank,Q6581097,true,true,false,false,false,true
Q151810,NormalRank,Q6581097,true,true,false,false,false,true
Q15727801,NormalRank,Q6581097,true,true,false,false,false,false
Q162646,NormalRank,Q6581097,true,true,false,false,false,false
Q2085634,NormalRank,Q6581097,true,true,false,false,false,true
Q2564765,NormalRank,Q6581097,true,true,false,false,false,false
Q2617454,NormalRank,Q6581097,true,true,false,false,false,false
Q29319183,NormalRank,Q6581097,true,false,,,,
Q3072481,NormalRank,Q6581097,true,false,,,,
Q31803839,NormalRank,Q6581097,true,true,false,false,false,false
Q31803839,NormalRank,Q6581097,true,true,false,false,false,true
Q3545676,NormalRank,Q6581097,true,false,,,,
Q3576296,NormalRank,Q6581097,true,true,false,false,false,false
Q4134107,NormalRank,Q6581097,true,true,false,false,false,false
Q4287911,NormalRank,Q6581097,true,true,false,false,false,false
Q4407406,NormalRank,Q6581097,true,true,false,false,false,false
Q44531929,NormalRank,Q6581097,true,false,,,,
Q4502062,NormalRank,Q6581097,true,true,false,false,false,false
Q47087945,NormalRank,Q6581097,true,false,,,,
Q558773,NormalRank,Q6581097,true,true,false,false,false,true
Q659494,NormalRank,Q6581097,true,true,false,false,false,false
Q724218,NormalRank,Q6581097,true,true,false,false,false,false
Q85866853,NormalRank,Q6581097,true,false,,,,
